msa,name_msa,fipstate,fipscty,name_county
31380,"Macomb, IL Micro Area",17,109,"McDonough County, Illinois"
31420,"Macon-Bibb County, GA Metro Area",13,21,"Bibb County, Georgia"
31420,"Macon-Bibb County, GA Metro Area",13,79,"Crawford County, Georgia"
31420,"Macon-Bibb County, GA Metro Area",13,169,"Jones County, Georgia"
31420,"Macon-Bibb County, GA Metro Area",13,207,"Monroe County, Georgia"
31420,"Macon-Bibb County, GA Metro Area",13,289,"Twiggs County, Georgia"
31460,"Madera, CA Metro Area",6,39,"Madera County, California"
31500,"Madison, IN Micro Area",18,77,"Jefferson County, Indiana"
31540,"Madison, WI Metro Area",55,21,"Columbia County, Wisconsin"
31540,"Madison, WI Metro Area",55,25,"Dane County, Wisconsin"
31540,"Madison, WI Metro Area",55,45,"Green County, Wisconsin"
31540,"Madison, WI Metro Area",55,49,"Iowa County, Wisconsin"
31580,"Madisonville, KY Micro Area",21,107,"Hopkins County, Kentucky"
31620,"Magnolia, AR Micro Area",5,27,"Columbia County, Arkansas"
31660,"Malone, NY Micro Area",36,33,"Franklin County, New York"
31680,"Malvern, AR Micro Area",5,59,"Hot Spring County, Arkansas"
31700,"Manchester-Nashua, NH Metro Area",33,11,"Hillsborough County, New Hampshire"
31740,"Manhattan, KS Metro Area",20,149,"Pottawatomie County, Kansas"
31740,"Manhattan, KS Metro Area",20,161,"Riley County, Kansas"
31820,"Manitowoc, WI Micro Area",55,71,"Manitowoc County, Wisconsin"
31860,"Mankato-North Mankato, MN Metro Area",27,13,"Blue Earth County, Minnesota"
31860,"Mankato-North Mankato, MN Metro Area",27,103,"Nicollet County, Minnesota"
31900,"Mansfield, OH Metro Area",39,139,"Richland County, Ohio"
31930,"Marietta, OH Micro Area",39,167,"Washington County, Ohio"
31940,"Marinette, WI-MI Micro Area",26,109,"Menominee County, Michigan"
31940,"Marinette, WI-MI Micro Area",55,75,"Marinette County, Wisconsin"
31980,"Marion, IN Micro Area",18,53,"Grant County, Indiana"
32000,"Marion, NC Micro Area",37,111,"McDowell County, North Carolina"
32020,"Marion, OH Micro Area",39,101,"Marion County, Ohio"
32100,"Marquette, MI Micro Area",26,103,"Marquette County, Michigan"
32140,"Marshall, MN Micro Area",27,83,"Lyon County, Minnesota"
32180,"Marshall, MO Micro Area",29,195,"Saline County, Missouri"
32220,"Marshall, TX Micro Area",48,203,"Harrison County, Texas"
32260,"Marshalltown, IA Micro Area",19,127,"Marshall County, Iowa"
32280,"Martin, TN Micro Area",47,183,"Weakley County, Tennessee"
32300,"Martinsville, VA Micro Area",51,89,"Henry County, Virginia"
32300,"Martinsville, VA Micro Area",51,690,"Martinsville city, Virginia"
32340,"Maryville, MO Micro Area",29,147,"Nodaway County, Missouri"
32380,"Mason City, IA Micro Area",19,33,"Cerro Gordo County, Iowa"
32380,"Mason City, IA Micro Area",19,195,"Worth County, Iowa"
32460,"Mayfield, KY Micro Area",21,83,"Graves County, Kentucky"
32500,"Maysville, KY Micro Area",21,161,"Mason County, Kentucky"
32540,"McAlester, OK Micro Area",40,121,"Pittsburg County, Oklahoma"
32580,"McAllen-Edinburg-Mission, TX Metro Area",48,215,"Hidalgo County, Texas"
32620,"McComb, MS Micro Area",28,5,"Amite County, Mississippi"
32620,"McComb, MS Micro Area",28,113,"Pike County, Mississippi"
32660,"McMinnville, TN Micro Area",47,177,"Warren County, Tennessee"
32700,"McPherson, KS Micro Area",20,113,"McPherson County, Kansas"
32740,"Meadville, PA Micro Area",42,39,"Crawford County, Pennsylvania"
32780,"Medford, OR Metro Area",41,29,"Jackson County, Oregon"
32820,"Memphis, TN-MS-AR Metro Area",5,35,"Crittenden County, Arkansas"
32820,"Memphis, TN-MS-AR Metro Area",28,9,"Benton County, Mississippi"
32820,"Memphis, TN-MS-AR Metro Area",28,33,"DeSoto County, Mississippi"
32820,"Memphis, TN-MS-AR Metro Area",28,93,"Marshall County, Mississippi"
32820,"Memphis, TN-MS-AR Metro Area",28,137,"Tate County, Mississippi"
32820,"Memphis, TN-MS-AR Metro Area",28,143,"Tunica County, Mississippi"
32820,"Memphis, TN-MS-AR Metro Area",47,47,"Fayette County, Tennessee"
32820,"Memphis, TN-MS-AR Metro Area",47,157,"Shelby County, Tennessee"
32820,"Memphis, TN-MS-AR Metro Area",47,167,"Tipton County, Tennessee"
32860,"Menomonie, WI Micro Area",55,33,"Dunn County, Wisconsin"
32900,"Merced, CA Metro Area",6,47,"Merced County, California"
32940,"Meridian, MS Micro Area",28,23,"Clarke County, Mississippi"
32940,"Meridian, MS Micro Area",28,69,"Kemper County, Mississippi"
32940,"Meridian, MS Micro Area",28,75,"Lauderdale County, Mississippi"
32980,"Merrill, WI Micro Area",55,69,"Lincoln County, Wisconsin"
33020,"Mexico, MO Micro Area",29,7,"Audrain County, Missouri"
33060,"Miami, OK Micro Area",40,115,"Ottawa County, Oklahoma"
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",12,11,"Broward County, Florida"
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",12,86,"Miami-Dade County, Florida"
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",12,99,"Palm Beach County, Florida"
33140,"Michigan City-La Porte, IN Metro Area",18,91,"LaPorte County, Indiana"
33180,"Middlesborough, KY Micro Area",21,13,"Bell County, Kentucky"
33220,"Midland, MI Metro Area",26,111,"Midland County, Michigan"
33260,"Midland, TX Metro Area",48,317,"Martin County, Texas"
33260,"Midland, TX Metro Area",48,329,"Midland County, Texas"
33300,"Milledgeville, GA Micro Area",13,9,"Baldwin County, Georgia"
33300,"Milledgeville, GA Micro Area",13,141,"Hancock County, Georgia"
33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",55,79,"Milwaukee County, Wisconsin"
33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",55,89,"Ozaukee County, Wisconsin"
33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",55,131,"Washington County, Wisconsin"
33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",55,133,"Waukesha County, Wisconsin"
33420,"Mineral Wells, TX Micro Area",48,363,"Palo Pinto County, Texas"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",27,3,"Anoka County, Minnesota"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",27,19,"Carver County, Minnesota"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",27,25,"Chisago County, Minnesota"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",27,37,"Dakota County, Minnesota"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",27,53,"Hennepin County, Minnesota"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",27,59,"Isanti County, Minnesota"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",27,79,"Le Sueur County, Minnesota"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",27,95,"Mille Lacs County, Minnesota"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",27,123,"Ramsey County, Minnesota"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",27,139,"Scott County, Minnesota"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",27,141,"Sherburne County, Minnesota"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",27,143,"Sibley County, Minnesota"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",27,163,"Washington County, Minnesota"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",27,171,"Wright County, Minnesota"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",55,93,"Pierce County, Wisconsin"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",55,109,"St. Croix County, Wisconsin"
33500,"Minot, ND Micro Area",38,49,"McHenry County, North Dakota"
33500,"Minot, ND Micro Area",38,75,"Renville County, North Dakota"
33500,"Minot, ND Micro Area",38,101,"Ward County, North Dakota"
33540,"Missoula, MT Metro Area",30,63,"Missoula County, Montana"
33580,"Mitchell, SD Micro Area",46,35,"Davison County, South Dakota"
33580,"Mitchell, SD Micro Area",46,61,"Hanson County, South Dakota"
33620,"Moberly, MO Micro Area",29,175,"Randolph County, Missouri"
33660,"Mobile, AL Metro Area",1,97,"Mobile County, Alabama"
33700,"Modesto, CA Metro Area",6,99,"Stanislaus County, California"
33740,"Monroe, LA Metro Area",22,73,"Ouachita Parish, Louisiana"
33740,"Monroe, LA Metro Area",22,111,"Union Parish, Louisiana"
33780,"Monroe, MI Metro Area",26,115,"Monroe County, Michigan"
33860,"Montgomery, AL Metro Area",1,1,"Autauga County, Alabama"
33860,"Montgomery, AL Metro Area",1,51,"Elmore County, Alabama"
33860,"Montgomery, AL Metro Area",1,85,"Lowndes County, Alabama"
33860,"Montgomery, AL Metro Area",1,101,"Montgomery County, Alabama"
33940,"Montrose, CO Micro Area",8,85,"Montrose County, Colorado"
33980,"Morehead City, NC Micro Area",37,31,"Carteret County, North Carolina"
34020,"Morgan City, LA Micro Area",22,101,"St. Mary Parish, Louisiana"
34060,"Morgantown, WV Metro Area",54,61,"Monongalia County, West Virginia"
34060,"Morgantown, WV Metro Area",54,77,"Preston County, West Virginia"
34100,"Morristown, TN Metro Area",47,63,"Hamblen County, Tennessee"
34100,"Morristown, TN Metro Area",47,89,"Jefferson County, Tennessee"
34140,"Moscow, ID Micro Area",16,57,"Latah County, Idaho"
34180,"Moses Lake, WA Micro Area",53,25,"Grant County, Washington"
34220,"Moultrie, GA Micro Area",13,71,"Colquitt County, Georgia"
34260,"Mountain Home, AR Micro Area",5,5,"Baxter County, Arkansas"
34300,"Mountain Home, ID Micro Area",16,39,"Elmore County, Idaho"
34340,"Mount Airy, NC Micro Area",37,171,"Surry County, North Carolina"
34380,"Mount Pleasant, MI Micro Area",26,73,"Isabella County, Michigan"
34420,"Mount Pleasant, TX Micro Area",48,449,"Titus County, Texas"
34460,"Mount Sterling, KY Micro Area",21,11,"Bath County, Kentucky"
34460,"Mount Sterling, KY Micro Area",21,165,"Menifee County, Kentucky"
34460,"Mount Sterling, KY Micro Area",21,173,"Montgomery County, Kentucky"
34500,"Mount Vernon, IL Micro Area",17,81,"Jefferson County, Illinois"
34540,"Mount Vernon, OH Micro Area",39,83,"Knox County, Ohio"
34580,"Mount Vernon-Anacortes, WA Metro Area",53,57,"Skagit County, Washington"
34620,"Muncie, IN Metro Area",18,35,"Delaware County, Indiana"
34660,"Murray, KY Micro Area",21,35,"Calloway County, Kentucky"
34700,"Muscatine, IA Micro Area",19,139,"Muscatine County, Iowa"
34740,"Muskegon, MI Metro Area",26,121,"Muskegon County, Michigan"
34780,"Muskogee, OK Micro Area",40,101,"Muskogee County, Oklahoma"
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",37,19,"Brunswick County, North Carolina"
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",45,51,"Horry County, South Carolina"
34860,"Nacogdoches, TX Micro Area",48,347,"Nacogdoches County, Texas"
34900,"Napa, CA Metro Area",6,55,"Napa County, California"
34940,"Naples-Immokalee-Marco Island, FL Metro Area",12,21,"Collier County, Florida"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",47,15,"Cannon County, Tennessee"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",47,21,"Cheatham County, Tennessee"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",47,37,"Davidson County, Tennessee"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",47,43,"Dickson County, Tennessee"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",47,81,"Hickman County, Tennessee"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",47,111,"Macon County, Tennessee"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",47,119,"Maury County, Tennessee"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",47,147,"Robertson County, Tennessee"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",47,149,"Rutherford County, Tennessee"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",47,159,"Smith County, Tennessee"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",47,165,"Sumner County, Tennessee"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",47,169,"Trousdale County, Tennessee"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",47,187,"Williamson County, Tennessee"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",47,189,"Wilson County, Tennessee"
35020,"Natchez, MS-LA Micro Area",22,29,"Concordia Parish, Louisiana"
35020,"Natchez, MS-LA Micro Area",28,1,"Adams County, Mississippi"
35060,"Natchitoches, LA Micro Area",22,69,"Natchitoches Parish, Louisiana"
35100,"New Bern, NC Metro Area",37,49,"Craven County, North Carolina"
35100,"New Bern, NC Metro Area",37,103,"Jones County, North Carolina"
35100,"New Bern, NC Metro Area",37,137,"Pamlico County, North Carolina"
35140,"Newberry, SC Micro Area",45,71,"Newberry County, South Carolina"
35220,"New Castle, IN Micro Area",18,65,"Henry County, Indiana"
35260,"New Castle, PA Micro Area",42,73,"Lawrence County, Pennsylvania"
35300,"New Haven-Milford, CT Metro Area",9,9,"New Haven County, Connecticut"
35380,"New Orleans-Metairie, LA Metro Area",22,51,"Jefferson Parish, Louisiana"
35380,"New Orleans-Metairie, LA Metro Area",22,71,"Orleans Parish, Louisiana"
35380,"New Orleans-Metairie, LA Metro Area",22,75,"Plaquemines Parish, Louisiana"
35380,"New Orleans-Metairie, LA Metro Area",22,87,"St. Bernard Parish, Louisiana"
35380,"New Orleans-Metairie, LA Metro Area",22,89,"St. Charles Parish, Louisiana"
35380,"New Orleans-Metairie, LA Metro Area",22,93,"St. James Parish, Louisiana"
35380,"New Orleans-Metairie, LA Metro Area",22,95,"St. John the Baptist Parish, Louisiana"
35380,"New Orleans-Metairie, LA Metro Area",22,103,"St. Tammany Parish, Louisiana"
35420,"New Philadelphia-Dover, OH Micro Area",39,157,"Tuscarawas County, Ohio"
35440,"Newport, OR Micro Area",41,41,"Lincoln County, Oregon"
35460,"Newport, TN Micro Area",47,29,"Cocke County, Tennessee"
35500,"Newton, IA Micro Area",19,99,"Jasper County, Iowa"
35580,"New Ulm, MN Micro Area",27,15,"Brown County, Minnesota"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",34,3,"Bergen County, New Jersey"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",34,13,"Essex County, New Jersey"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",34,17,"Hudson County, New Jersey"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",34,19,"Hunterdon County, New Jersey"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",34,23,"Middlesex County, New Jersey"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",34,25,"Monmouth County, New Jersey"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",34,27,"Morris County, New Jersey"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",34,29,"Ocean County, New Jersey"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",34,31,"Passaic County, New Jersey"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",34,35,"Somerset County, New Jersey"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",34,37,"Sussex County, New Jersey"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",34,39,"Union County, New Jersey"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36,5,"Bronx County, New York"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36,27,"Dutchess County, New York"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36,47,"Kings County, New York"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36,59,"Nassau County, New York"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36,61,"New York County, New York"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36,71,"Orange County, New York"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36,79,"Putnam County, New York"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36,81,"Queens County, New York"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36,85,"Richmond County, New York"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36,87,"Rockland County, New York"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36,103,"Suffolk County, New York"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36,119,"Westchester County, New York"
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",42,103,"Pike County, Pennsylvania"
35660,"Niles-Benton Harbor, MI Metro Area",26,21,"Berrien County, Michigan"
35700,"Nogales, AZ Micro Area",4,23,"Santa Cruz County, Arizona"
35740,"Norfolk, NE Micro Area",31,119,"Madison County, Nebraska"
35740,"Norfolk, NE Micro Area",31,139,"Pierce County, Nebraska"
35740,"Norfolk, NE Micro Area",31,167,"Stanton County, Nebraska"
35820,"North Platte, NE Micro Area",31,111,"Lincoln County, Nebraska"
35820,"North Platte, NE Micro Area",31,113,"Logan County, Nebraska"
35820,"North Platte, NE Micro Area",31,117,"McPherson County, Nebraska"
35840,"North Port-Sarasota-Bradenton, FL Metro Area",12,81,"Manatee County, Florida"
35840,"North Port-Sarasota-Bradenton, FL Metro Area",12,115,"Sarasota County, Florida"
35860,"North Vernon, IN Micro Area",18,79,"Jennings County, Indiana"
35900,"North Wilkesboro, NC Micro Area",37,193,"Wilkes County, North Carolina"
35940,"Norwalk, OH Micro Area",39,77,"Huron County, Ohio"
35980,"Norwich-New London, CT Metro Area",9,11,"New London County, Connecticut"
36020,"Oak Harbor, WA Micro Area",53,29,"Island County, Washington"
36100,"Ocala, FL Metro Area",12,83,"Marion County, Florida"
36140,"Ocean City, NJ Metro Area",34,9,"Cape May County, New Jersey"
36220,"Odessa, TX Metro Area",48,135,"Ector County, Texas"
36260,"Ogden-Clearfield, UT Metro Area",49,3,"Box Elder County, Utah"
36260,"Ogden-Clearfield, UT Metro Area",49,11,"Davis County, Utah"
36260,"Ogden-Clearfield, UT Metro Area",49,29,"Morgan County, Utah"
36260,"Ogden-Clearfield, UT Metro Area",49,57,"Weber County, Utah"
36300,"Ogdensburg-Massena, NY Micro Area",36,89,"St. Lawrence County, New York"
36340,"Oil City, PA Micro Area",42,121,"Venango County, Pennsylvania"
36380,"Okeechobee, FL Micro Area",12,93,"Okeechobee County, Florida"
36420,"Oklahoma City, OK Metro Area",40,17,"Canadian County, Oklahoma"
36420,"Oklahoma City, OK Metro Area",40,27,"Cleveland County, Oklahoma"
36420,"Oklahoma City, OK Metro Area",40,51,"Grady County, Oklahoma"
36420,"Oklahoma City, OK Metro Area",40,81,"Lincoln County, Oklahoma"
36420,"Oklahoma City, OK Metro Area",40,83,"Logan County, Oklahoma"
36420,"Oklahoma City, OK Metro Area",40,87,"McClain County, Oklahoma"
36420,"Oklahoma City, OK Metro Area",40,109,"Oklahoma County, Oklahoma"
36460,"Olean, NY Micro Area",36,9,"Cattaraugus County, New York"
36500,"Olympia-Tumwater, WA Metro Area",53,67,"Thurston County, Washington"
36540,"Omaha-Council Bluffs, NE-IA Metro Area",19,85,"Harrison County, Iowa"
36540,"Omaha-Council Bluffs, NE-IA Metro Area",19,129,"Mills County, Iowa"
36540,"Omaha-Council Bluffs, NE-IA Metro Area",19,155,"Pottawattamie County, Iowa"
36540,"Omaha-Council Bluffs, NE-IA Metro Area",31,25,"Cass County, Nebraska"
36540,"Omaha-Council Bluffs, NE-IA Metro Area",31,55,"Douglas County, Nebraska"
36540,"Omaha-Council Bluffs, NE-IA Metro Area",31,153,"Sarpy County, Nebraska"
36540,"Omaha-Council Bluffs, NE-IA Metro Area",31,155,"Saunders County, Nebraska"
36540,"Omaha-Council Bluffs, NE-IA Metro Area",31,177,"Washington County, Nebraska"
36580,"Oneonta, NY Micro Area",36,77,"Otsego County, New York"
36620,"Ontario, OR-ID Micro Area",16,75,"Payette County, Idaho"
36620,"Ontario, OR-ID Micro Area",41,45,"Malheur County, Oregon"
36660,"Opelousas, LA Micro Area",22,97,"St. Landry Parish, Louisiana"
36700,"Orangeburg, SC Micro Area",45,75,"Orangeburg County, South Carolina"
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",12,69,"Lake County, Florida"
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",12,95,"Orange County, Florida"
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",12,97,"Osceola County, Florida"
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",12,117,"Seminole County, Florida"
36780,"Oshkosh-Neenah, WI Metro Area",55,139,"Winnebago County, Wisconsin"
36820,"Oskaloosa, IA Micro Area",19,123,"Mahaska County, Iowa"
36830,"Othello, WA Micro Area",53,1,"Adams County, Washington"
36840,"Ottawa, KS Micro Area",20,59,"Franklin County, Kansas"
36860,"Ottawa-Peru, IL Micro Area",17,11,"Bureau County, Illinois"
36860,"Ottawa-Peru, IL Micro Area",17,99,"LaSalle County, Illinois"
36860,"Ottawa-Peru, IL Micro Area",17,155,"Putnam County, Illinois"
36900,"Ottumwa, IA Micro Area",19,51,"Davis County, Iowa"
36900,"Ottumwa, IA Micro Area",19,179,"Wapello County, Iowa"
36940,"Owatonna, MN Micro Area",27,147,"Steele County, Minnesota"
36980,"Owensboro, KY Metro Area",21,59,"Daviess County, Kentucky"
36980,"Owensboro, KY Metro Area",21,91,"Hancock County, Kentucky"
36980,"Owensboro, KY Metro Area",21,149,"McLean County, Kentucky"
37020,"Owosso, MI Micro Area",26,155,"Shiawassee County, Michigan"
37060,"Oxford, MS Micro Area",28,71,"Lafayette County, Mississippi"
37080,"Oxford, NC Micro Area",37,77,"Granville County, North Carolina"
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",6,111,"Ventura County, California"
37120,"Ozark, AL Micro Area",1,45,"Dale County, Alabama"
37140,"Paducah, KY-IL Micro Area",17,127,"Massac County, Illinois"
37140,"Paducah, KY-IL Micro Area",21,7,"Ballard County, Kentucky"
37140,"Paducah, KY-IL Micro Area",21,139,"Livingston County, Kentucky"
37140,"Paducah, KY-IL Micro Area",21,145,"McCracken County, Kentucky"
37220,"Pahrump, NV Micro Area",32,23,"Nye County, Nevada"
37260,"Palatka, FL Micro Area",12,107,"Putnam County, Florida"
37300,"Palestine, TX Micro Area",48,1,"Anderson County, Texas"
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",12,9,"Brevard County, Florida"
37420,"Pampa, TX Micro Area",48,179,"Gray County, Texas"
37460,"Panama City, FL Metro Area",12,5,"Bay County, Florida"
37460,"Panama City, FL Metro Area",12,45,"Gulf County, Florida"
37500,"Paragould, AR Micro Area",5,55,"Greene County, Arkansas"
37540,"Paris, TN Micro Area",47,79,"Henry County, Tennessee"
37580,"Paris, TX Micro Area",48,277,"Lamar County, Texas"
37620,"Parkersburg-Vienna, WV Metro Area",54,105,"Wirt County, West Virginia"
37620,"Parkersburg-Vienna, WV Metro Area",54,107,"Wood County, West Virginia"
37660,"Parsons, KS Micro Area",20,99,"Labette County, Kansas"
37740,"Payson, AZ Micro Area",4,7,"Gila County, Arizona"
37780,"Pecos, TX Micro Area",48,389,"Reeves County, Texas"
37800,"Pella, IA Micro Area",19,125,"Marion County, Iowa"
37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",12,33,"Escambia County, Florida"
37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",12,113,"Santa Rosa County, Florida"
37900,"Peoria, IL Metro Area",17,123,"Marshall County, Illinois"
37900,"Peoria, IL Metro Area",17,143,"Peoria County, Illinois"
37900,"Peoria, IL Metro Area",17,175,"Stark County, Illinois"
37900,"Peoria, IL Metro Area",17,179,"Tazewell County, Illinois"
37900,"Peoria, IL Metro Area",17,203,"Woodford County, Illinois"
37940,"Peru, IN Micro Area",18,103,"Miami County, Indiana"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",10,3,"New Castle County, Delaware"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",24,15,"Cecil County, Maryland"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",34,5,"Burlington County, New Jersey"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",34,7,"Camden County, New Jersey"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",34,15,"Gloucester County, New Jersey"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",34,33,"Salem County, New Jersey"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",42,17,"Bucks County, Pennsylvania"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",42,29,"Chester County, Pennsylvania"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",42,45,"Delaware County, Pennsylvania"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",42,91,"Montgomery County, Pennsylvania"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",42,101,"Philadelphia County, Pennsylvania"
38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4,13,"Maricopa County, Arizona"
38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4,21,"Pinal County, Arizona"
38100,"Picayune, MS Micro Area",28,109,"Pearl River County, Mississippi"
38180,"Pierre, SD Micro Area",46,65,"Hughes County, South Dakota"
38180,"Pierre, SD Micro Area",46,117,"Stanley County, South Dakota"
38180,"Pierre, SD Micro Area",46,119,"Sully County, South Dakota"
38220,"Pine Bluff, AR Metro Area",5,25,"Cleveland County, Arkansas"
38220,"Pine Bluff, AR Metro Area",5,69,"Jefferson County, Arkansas"
38220,"Pine Bluff, AR Metro Area",5,79,"Lincoln County, Arkansas"
38240,"Pinehurst-Southern Pines, NC Micro Area",37,125,"Moore County, North Carolina"
38260,"Pittsburg, KS Micro Area",20,37,"Crawford County, Kansas"
38300,"Pittsburgh, PA Metro Area",42,3,"Allegheny County, Pennsylvania"
38300,"Pittsburgh, PA Metro Area",42,5,"Armstrong County, Pennsylvania"
38300,"Pittsburgh, PA Metro Area",42,7,"Beaver County, Pennsylvania"
38300,"Pittsburgh, PA Metro Area",42,19,"Butler County, Pennsylvania"
38300,"Pittsburgh, PA Metro Area",42,51,"Fayette County, Pennsylvania"
38300,"Pittsburgh, PA Metro Area",42,125,"Washington County, Pennsylvania"
38300,"Pittsburgh, PA Metro Area",42,129,"Westmoreland County, Pennsylvania"
38340,"Pittsfield, MA Metro Area",25,3,"Berkshire County, Massachusetts"
38380,"Plainview, TX Micro Area",48,189,"Hale County, Texas"
38420,"Platteville, WI Micro Area",55,43,"Grant County, Wisconsin"
38460,"Plattsburgh, NY Micro Area",36,19,"Clinton County, New York"
38500,"Plymouth, IN Micro Area",18,99,"Marshall County, Indiana"
38540,"Pocatello, ID Metro Area",16,5,"Bannock County, Idaho"
38580,"Point Pleasant, WV-OH Micro Area",39,53,"Gallia County, Ohio"
38580,"Point Pleasant, WV-OH Micro Area",54,53,"Mason County, West Virginia"
38620,"Ponca City, OK Micro Area",40,71,"Kay County, Oklahoma"
38700,"Pontiac, IL Micro Area",17,105,"Livingston County, Illinois"
38740,"Poplar Bluff, MO Micro Area",29,23,"Butler County, Missouri"
38780,"Portales, NM Micro Area",35,41,"Roosevelt County, New Mexico"
